unicode,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1F308,0,0.28,0,0,0.69,0.06,0.22,0.33
1F319,0,0.31,0,0,0.25,0,0.06,0.25
1F31A,0.06,0.08,0.17,0.06,0.42,0.19,0.06,0.11
1F31E,0,0.22,0,0,0.78,0,0.11,0.22
1F31F,0,0.28,0,0,0.53,0,0.25,0.31
1F337,0,0.31,0,0,0.44,0,0,0.22
1F338,0,0.22,0,0,0.56,0,0.14,0.25
1F339,0,0.36,0,0,0.56,0,0.11,0.72
1F33A,0,0.11,0,0,0.39,0,0.06,0.19
1F340,0,0.39,0,0,0.47,0,0.22,0.44
1F343,0,0.31,0,0,0.11,0.17,0.03,0.06
1F355,0.06,0.39,0.06,0.06,0.47,0.06,0.17,0.17
1F37B,0,0.44,0,0,0.72,0,0.25,0.53
1F380,0,0.42,0,0,0.44,0,0.36,0.22
1F388,0.06,0.25,0.06,0.06,0.47,0.06,0.31,0.22
1F389,0,0.33,0,0,0.92,0,0.5,0.33
1F3A4,0,0.39,0,0.06,0.39,0.08,0.08,0.25
1F3A5,0,0.28,0,0,0.19,0,0.17,0.17
1F3A7,0,0.08,0,0,0.44,0,0,0.03
1F3B5,0,0.25,0,0,0.47,0.08,0.08,0.17
1F3B6,0,0.22,0,0,0.47,0,0.22,0.14
1F440,0.14,0.81,0.17,0.42,0,0.17,0.64,0.06
1F445,0,0.17,0,0,0.36,0,0.08,0.11
1F447,0.11,0.14,0,0.06,0,0,0,0.11
1F448,0.14,0.17,0,0,0,0,0.06,0.08
1F449,0.06,0.25,0,0,0,0,0.03,0.17
1F44A,0.44,0.36,0.14,0.11,0.22,0,0,0.61
1F44B,0.08,0.28,0.06,0,0.22,0,0.08,0.22
1F44C,0,0.36,0,0,0.22,0,0.22,0.56
1F44D,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47
1F44E,0.5,0.08,0.67,0.14,0,0.31,0.14,0.06
1F44F,0.08,0.39,0.08,0,0.64,0,0.25,0.53
1F451,0,0.25,0,0,0.28,0,0.11,0.25
1F47B,0.11,0.08,0.08,0.69,0,0.11,0.31,0.08
1F480,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11
1F481,0.08,0.33,0.08,0.06,0.14,0.06,0.17,0.25
1F483,0,0.11,0,0,0.69,0,0.17,0.19
1F48B,0,0.28,0,0,0.78,0,0.19,0.69
1F48E,0,0.31,0,0.06,0.33,0,0.25,0.5
1F490,0,0.39,0,0,0.69,0.11,0.36,0.58
1F493,0,0.47,0,0.08,0.61,0,0.19,0.67
1F494,0.39,0.19,0.33,0.14,0,0.94,0.08,0.17
1F495,0,0.31,0,0,0.83,0,0.11,0.75
1F496,0,0.33,0,0,0.89,0,0.25,0.53
1F497,0,0.36,0,0,0.89,0,0.22,0.5
1F498,0.03,0.31,0.06,0.06,0.67,0.14,0.06,0.64
1F499,0,0.25,0,0,0.61,0.17,0.17,0.28
1F49A,0,0.11,0,0,0.58,0.03,0.03,0.33
1F49B,0.03,0.11,0.06,0,0.53,0.08,0.08,0.36
1F49C,0,0.11,0.06,0.06,0.47,0.11,0.08,0.31
1F49E,0,0.25,0,0,0.83,0,0.22,0.61
1F4A4,0.06,0.36,0.19,0.06,0.11,0.14,0.06,0.22
1F4A5,0.44,0.19,0.19,0.31,0.11,0.14,0.31,0.08
1F4A6,0,0.11,0.11,0.06,0,0.14,0,0
1F4A9,0.14,0.08,0.64,0,0.25,0.03,0.19,0.11
1F4AA,0.03,0.31,0,0,0.42,0,0.08,0.31
1F4AB,0,0.19,0,0.06,0.44,0,0.19,0.11
1F4AD,0.11,0.64,0.11,0.11,0.17,0.11,0.17,0.22
1F4AF,0.06,0.28,0.06,0.06,0.64,0.06,0.19,0.53
1F4B0,0,0.58,0,0.06,0.47,0.06,0.25,0.36
1F4F7,0,0.19,0.03,0,0.14,0,0.08,0.08
1F51E,0.11,0.11,0.08,0.03,0.08,0.11,0,0.19
1F525,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14
1F52B,0.44,0.14,0.17,0.14,0.03,0.14,0,0.11
1F534,0.08,0.06,0,0.11,0,0.03,0.19,0
1F600,0.06,0.22,0.06,0.06,0.69,0.06,0.14,0.25
1F601,0.06,0.25,0,0.08,0.89,0.06,0.33,0.36
1F602,0,0.17,0.06,0.06,0.94,0,0.33,0.22
1F603,0,0.31,0,0.06,0.83,0,0.33,0.36
1F604,0,0.36,0,0,0.86,0,0.28,0.28
1F605,0.08,0.44,0.06,0.28,0.42,0.06,0.36,0.17
